backbone,method,condition,seed,auc
clip-vit-b-16,"sar@paper(1e-4,0.01)",motion_blur_2,42,0.7008994552433802
clip-vit-b-16,"sar@paper(1e-4,0.01)",motion_blur_3,42,0.7097817929788083
clip-vit-b-16,"sar@paper(1e-4,0.01)",motion_blur_4,42,0.7134983959085581
clip-vit-b-16,"sar@paper(1e-4,0.01)",motion_blur_5,42,0.6278203200082
clip-vit-b-16,source_only,brightness_1,42,0.8181407232121675
clip-vit-b-16,source_only,brightness_2,42,0.8170913219846461
clip-vit-b-16,source_only,brightness_3,42,0.8241033832133227
clip-vit-b-16,source_only,brightness_4,42,0.8247060466183601
clip-vit-b-16,source_only,brightness_5,42,0.8151528386398246
clip-vit-b-16,source_only,gaussian_noise_1,42,0.6262349977044883
clip-vit-b-16,source_only,gaussian_noise_2,42,0.5253200606912453
clip-vit-b-16,source_only,gaussian_noise_3,42,0.5223318367813995
clip-vit-b-16,source_only,gaussian_noise_4,42,0.5546801486721804
clip-vit-b-16,source_only,gaussian_noise_5,42,0.5769870530770557
clip-vit-b-16,source_only,jpeg_compression_1,42,0.5758289031098093
clip-vit-b-16,source_only,jpeg_compression_2,42,0.4756727068930398
clip-vit-b-16,source_only,jpeg_compression_3,42,0.440699762296768
clip-vit-b-16,source_only,jpeg_compression_4,42,0.3791002540437252
clip-vit-b-16,source_only,jpeg_compression_5,42,0.4419179482122135
clip-vit-b-16,source_only,motion_blur_1,42,0.7331156219666094
clip-vit-b-16,source_only,motion_blur_2,42,0.7009015537779373
clip-vit-b-16,source_only,motion_blur_3,42,0.7097792032978657
clip-vit-b-16,source_only,motion_blur_4,42,0.7134737939396025
clip-vit-b-16,source_only,motion_blur_5,42,0.6278056749159723
clip-vit-b-16,source_only,brightness_1,123,0.8110846106176621
clip-vit-b-16,source_only,brightness_2,123,0.8098364647726897
clip-vit-b-16,source_only,brightness_3,123,0.8182838700587587
clip-vit-b-16,source_only,brightness_4,123,0.8161193656122124
clip-vit-b-16,source_only,brightness_5,123,0.7969815654010962
clip-vit-b-16,source_only,gaussian_noise_1,123,0.6234172641000151
clip-vit-b-16,source_only,gaussian_noise_2,123,0.5338904847520267
clip-vit-b-16,source_only,gaussian_noise_3,123,0.527830175919463
clip-vit-b-16,source_only,gaussian_noise_4,123,0.5976534571142712
clip-vit-b-16,source_only,gaussian_noise_5,123,0.629026968448549
clip-vit-b-16,source_only,jpeg_compression_1,123,0.5632134777859411
clip-vit-b-16,source_only,jpeg_compression_2,123,0.46404085132114287
clip-vit-b-16,source_only,jpeg_compression_3,123,0.4372130783850584
clip-vit-b-16,source_only,jpeg_compression_4,123,0.39478471918271996
clip-vit-b-16,source_only,jpeg_compression_5,123,0.4478756878195776
clip-vit-b-16,source_only,motion_blur_1,123,0.7314624410922648
clip-vit-b-16,source_only,motion_blur_2,123,0.6841149829392701
clip-vit-b-16,source_only,motion_blur_3,123,0.705320978255667
clip-vit-b-16,source_only,motion_blur_4,123,0.7079469683111691
clip-vit-b-16,source_only,motion_blur_5,123,0.6236021048097837
clip-vit-b-16,source_only,brightness_1,2024,0.8133188712458768
clip-vit-b-16,source_only,brightness_2,2024,0.8150646644686929
clip-vit-b-16,source_only,brightness_3,2024,0.8221139278036015
clip-vit-b-16,source_only,brightness_4,2024,0.8204621846486768
clip-vit-b-16,source_only,brightness_5,2024,0.8013551078764687
clip-vit-b-16,source_only,gaussian_noise_1,2024,0.6228165117009146
clip-vit-b-16,source_only,gaussian_noise_2,2024,0.549238523546762
clip-vit-b-16,source_only,gaussian_noise_3,2024,0.5427667233423378
clip-vit-b-16,source_only,gaussian_noise_4,2024,0.590673695457904
clip-vit-b-16,source_only,gaussian_noise_5,2024,0.6022910756063247
clip-vit-b-16,source_only,jpeg_compression_1,2024,0.5775516124524982
clip-vit-b-16,source_only,jpeg_compression_2,2024,0.4740031038695447
clip-vit-b-16,source_only,jpeg_compression_3,2024,0.44486661251317594
clip-vit-b-16,source_only,jpeg_compression_4,2024,0.39612987983376624
clip-vit-b-16,source_only,jpeg_compression_5,2024,0.4601068134214835
clip-vit-b-16,source_only,motion_blur_1,2024,0.7343398891673031
clip-vit-b-16,source_only,motion_blur_2,2024,0.6927369595106797
clip-vit-b-16,source_only,motion_blur_3,2024,0.7050912021165752
clip-vit-b-16,source_only,motion_blur_4,2024,0.7097540030233128
clip-vit-b-16,source_only,motion_blur_5,2024,0.6244230872482249
clip-vit-b-16,tent,brightness_1,42,0.8179921737553337
clip-vit-b-16,tent,brightness_2,42,0.8169870114222609
clip-vit-b-16,tent,brightness_3,42,0.8240423471124836
clip-vit-b-16,tent,brightness_4,42,0.8246435549382326
clip-vit-b-16,tent,brightness_5,42,0.8151505168569104
clip-vit-b-16,tent,gaussian_noise_1,42,0.6260058109410594
clip-vit-b-16,tent,gaussian_noise_2,42,0.5250432773780764
